row,active_ingredient,common_us_brands,category_primary_use,typical_otc_form_strength,audit_status,notes
39,Glycerin,Fleet Glycerin,Rectal laxative,Suppository,formulation-dependent positive,Some glycerin suppositories listed polyethylene glycol 400; other products were simpler
40,Hydrocortisone,Cortizone-10,Topical corticosteroid,0.5–1% topical,not individually audited in retained excerpt set,
41,Clotrimazole,Lotrimin AF,Topical antifungal,1% cream,formulation-dependent positive,Closed positive with product variation preserved
42,Miconazole nitrate,"Micatin, Monistat",Antifungal,"Usually 2% topical; vaginal forms vary",formulation-dependent positive,Closed positive with product variation preserved
43,Terbinafine hydrochloride,Lamisil AT,Topical antifungal,1% topical,strong direct positive,Repeated cream labels converged cleanly
44,Butenafine hydrochloride,Lotrimin Ultra,Topical antifungal,1% cream,formulation-dependent positive,Lotrimin Ultra surfaced polyoxyethylene cetyl ether and related excipients
45,Tolnaftate,Tinactin,Topical antifungal,1% topical,formulation-dependent positive,Closed positive with product variation preserved
46,Benzoyl peroxide,"PanOxyl, Clearasil products",Acne,2.5–10% topical,not individually audited in retained excerpt set,
47,Adapalene,Differin Gel,Retinoid / acne,0.1% topical,strong direct positive,Strong label-level gel example; carbomer base / propylene glycol surfaced
48,Minoxidil,Rogaine,Hair-loss treatment,2% / 5% topical,strong direct positive,Foam and solution labels surfaced polysorbate 60 or propylene glycol
49,Ketotifen fumarate,"Zaditor, Alaway",Ophthalmic antihistamine,0.025% eye drops,strong direct positive,Multiple labels listed benzalkonium chloride-preserved ophthalmic systems
50,Olopatadine hydrochloride,Pataday,Ophthalmic antihistamine,"0.1%, 0.2%, 0.7% drops",strong direct positive,"Multiple labels surfaced benzalkonium chloride, povidone, and related excipients"
